userName,score,content,at,sentiment
Francette Dunyach,1,"airbnb hide the key information ( policy cancellation, userid, amount you paid and pending to pay) while saturate you with information you don't care. Airbnb is the best way to loose money with abusive ans hidden policy",2025-05-06 02:11:00,0.18910256410256412
Emy Yap,3,glitches and difficult to use,2025-05-06 02:10:53,-0.5
Luis Ramirez,4,Market insight data needs to be updated at least daily. Sometimes it takes 3 days to update.,2025-05-06 02:08:42,-0.15
Trevor Willoughby,5,"My overall Air BnB experience has been alot of fun, very safe, and every place pretty much I've stayed at has been ultra clean. Air BnB's will eventually put normal hotel and motel stays out of buisness. I highly recommend giving this a try!",2025-05-06 02:02:55,0.26458333333333334
Mehedi Hasan Robin,5,💯💯,2025-05-06 00:16:54,0.0
DJ VINOD,5,good,2025-05-05 23:53:09,0.7
Steve & Mary murphy,5,stayed in some fantastic places with them,2025-05-05 22:58:33,0.4
Sander Boot,1,horrible app,2025-05-05 22:58:30,-1.0
Fat Girl,5,great,2025-05-05 22:44:36,0.8
Sboniso Mthethwa,4,great experience,2025-05-05 21:32:14,0.8
Ashwin Sawant,1,fraud company for hosting.,2025-05-05 21:25:06,0.0
Brenda Middleton,5,"First time I have used this app, all seems ok & very easy to follow, have booked & waiting to hear back from the owners if they are happy with our booking.",2025-05-05 21:23:07,0.42266666666666663
Esther Winslow,5,"Super easy to use, always works without a hitch",2025-05-05 21:07:36,0.3833333333333333
Arjun V P,5,nice,2025-05-05 18:34:52,0.6
Jo Ridley-Hughes,5,Been using it for a while and never had a problem with the app.,2025-05-05 18:11:02,0.0
Karyna Prokhorenko,1,"very dangerous app, as they provide apartment which can be dangerous for life, they don't have any system to check if host not a scam or maniac, or at least have safe place and not die in apartment. when you try to contact airbnb support, it's just a joke, every time agent changing, and they don't bother themselves even to read previous messages. And ofcourse close chat for some nonsense reasons. but ofcourse airbnb never forget to take a fee for they service.",2025-05-05 16:37:46,-0.2693333333333333
George,5,very handy for last minute accommodation,2025-05-05 15:24:44,0.39
Stian Kvia,1,Reported a stay to support and they managed to call me in the middle of the night to ask me questions....,2025-05-05 14:06:41,0.0
Jacqueline Dumlao,5,easy to use,2025-05-05 13:24:32,0.43333333333333335
Tara Smilovic,4,Awesome! I love how the map shows you how far the place you plan to stay is from other destinations.,2025-05-05 10:30:08,0.36875
Aaron Raschke,5,it was very easy,2025-05-05 09:41:25,0.5633333333333334
Rick Smith,5,easy to use,2025-05-05 09:30:03,0.43333333333333335
Donna,5,I frequently book with Airbnb and really enjoy the variety of places that I've stayed in.,2025-05-05 09:18:20,0.25
Christopher Baumgardner,5,since we started using Airbnb a long time ago we very rarely stay in hotels. I love that they changed the pricing displays so that fees are less hidden now.,2025-05-05 09:03:54,0.10133333333333336
Maria yolanda,5,excellent,2025-05-05 08:50:20,1.0
phil mars,1,map only sometimes works,2025-05-05 07:25:03,0.0
anas khan,1,very bad service and guidance,2025-05-05 07:09:07,-0.9099999999999998
John Alexander,1,crashing frequently,2025-05-05 05:48:47,0.1
Gardenofsenses,5,amazing. I love using Airbnb.,2025-05-05 05:19:43,0.55
Barry Stovall,5,"best service ever, I wish I had thought of it first",2025-05-05 04:53:26,0.625
Savannah Eagan,5,amazing customer service,2025-05-05 03:27:45,0.6000000000000001
Mark Clarke,5,easy-to-use,2025-05-05 03:08:51,0.0
Wan Nor Azrul Wan Mohd Noraznil,5,good,2025-05-05 02:14:32,0.7
P B M,1,Very limited options across multiple cities and towns in India.,2025-05-05 01:31:38,-0.04642857142857143
steve r,5,so far so good,2025-05-05 01:00:15,0.39999999999999997
Asuncion Salero,3,easy to access.,2025-05-05 00:48:10,0.43333333333333335
noname noname,5,Thank you for fixing the full price display. Finally! Finally!!!!,2025-05-05 00:21:45,0.175
Carlotta Jefferson,1,app is down,2025-05-04 23:39:57,-0.15555555555555559
Madalina Cocan,3,i have encoubtered many erros when booking and paying.,2025-05-04 23:04:26,0.5
Nicholas Cooper,1,"Over priced, unreliable, unhelpful and dishonest. Only booked with them as have a voucher that needs to be used.",2025-05-04 21:47:59,-0.15
Becky Taylor,5,awesome,2025-05-04 21:07:25,1.0
Egor E,1,"It was a good app before, 5 years ago. But now it's full of renting companies mocking private hosts. The price is the same as for staying in a good hotel, but the quality is bad, no daily cleaning, no breakfast, a feeling of a student dormitory. And the cancellation policy is often not client oriented. I loose my money if I cancel, but the hosts can cancel the booking just a few days before arriving without any penalty for them.",2025-05-04 20:31:08,0.08589743589743588
Sonny Pornasdoro,5,Fantastic,2025-05-04 19:58:34,0.4
Yi-Wen Lan,5,very useful and easy to find an accomodation,2025-05-04 19:52:48,0.4116666666666667
Richard Roman,5,very good experience using the app. good service and very good deals. would highly recommend:),2025-05-04 19:45:55,0.6359999999999999
Udo Menzhausen,1,even though registered for 5 years. App not able to verify me.,2025-05-04 19:33:18,-0.25
George Birmingham,5,makes travel so easy for me. maybe too easy for my wife.,2025-05-04 19:15:25,0.43333333333333335
Gavin Jones,4,I use AirBnB at least 2-3 times a year - only made it 4* because as with any app a few 'quirks'.....but generally 5* service & search options.,2025-05-04 18:19:02,-0.11249999999999999
Val Hempstock,5,Great properties. Great prices. Various payment options,2025-05-04 17:04:38,0.5333333333333333
J K,1,I used to host with them 10 years ago. now they've had me on a SIX WEEK RUN AROUND where the host snuck in $150 of hidden fees and by the time I realised 20 minutes later they refused to refund me. the host and Airbnb each blamed each other for over a month. customer service call assured me calls back for a full day where I sat home (Wi-Fi calling in a foreign country) and no one replied. they left it up to the host and obviously they kept my money. REVOLTING🤮🤮🤮,2025-05-04 16:14:27,-0.008333333333333331
David Anthony,5,Love the app the possibility of accommodations it provides,2025-05-04 16:01:07,0.5
Tina Teearu,5,Makes booking a short break a walk in the park! Great app 👌,2025-05-04 15:36:07,0.4
Dontwastemytimepls,5,makes everything so easy,2025-05-04 15:09:27,0.43333333333333335
heavenlight lorry,5,Airbnb is good application For everyone I'm so enjoyed,2025-05-04 13:57:56,0.6
Jhun Romel Soronio,5,good,2025-05-04 13:38:45,0.7
jingyun zhao,5,intuitive and good to use,2025-05-04 11:30:12,0.7
Jessica O'Neal,5,I've always had a good experience with Airbnb. Customer service is good and they work hard to make things right! why just have a room when you can have a house!,2025-05-04 10:46:26,0.38869047619047614
mayra marrero,5,muy buena,2025-05-04 09:57:57,0.0
Richard Galligher,5,easy way to get trips in place,2025-05-04 09:30:29,0.43333333333333335
T R I G G E R E D,1,"first time trying to book a stay, and it tells me there was an issue with making the reservation despite me not doing anything wrong. everything was verified, had plenty of funds in account for it. Called customer support and they said I was given a restriction on my account for 10 days because of the failed booking so I'm SOL til then and even then it might not work. how did this become a successful business app?",2025-05-04 09:11:42,0.0
Ricky P,5,love using this app to find good places to stay.,2025-05-04 08:43:34,0.6
Louise Bryant,2,can be a good APP However the price can change from day to day,2025-05-04 08:41:53,0.7
Alexandro Sanchez,5,easy to use,2025-05-04 08:15:14,0.43333333333333335
GMA Joshi,1,हिंदी में नहींं चलता,2025-05-04 07:58:56,0.0
Brittany Brennan,5,love having the option to just pick up and go and not having to stress over a place to stay!,2025-05-04 07:40:29,0.625
Peter Van der Velden,5,fantastic accommodation in all locations,2025-05-04 07:36:23,0.4
赵伟明,1,"Book a hotel, don't use Airbnb in Taipei because Airbnb helps host bullying guests. Apparently booking experience is not part of Airbnb's user experience concerns. My host in Taipei cancelled my booking less than 2 hours before my arrival and faced no consequence. This host was allowed to remove my review warning other guests. This host left a retaliatory review on me but I was not allowed to remove it. The worst part? The host was recommended by Airbnb and appeared on top of my search.",2025-05-04 07:21:44,-0.12361111111111112
Tim Pickup,5,works,2025-05-04 06:50:04,0.0
Robin Richter,5,love your app. very easy to use.,2025-05-04 06:33:28,0.5316666666666667
Robin Hotts Art,5,I love air BNB my family and I always stay air BNB. we also have our favorite places we save and always come back to visit 😁,2025-05-04 06:30:09,0.3333333333333333
Jessica Cheverie,5,Always great options & easy to use!,2025-05-04 06:13:01,0.6708333333333334
Susan Hurd,5,"Easy, great options, worldwide.",2025-05-04 05:29:56,0.6166666666666667
Anne-sophie Massa,5,"Easy, flexible and a wonderful experience i have always had for my various trips.",2025-05-04 05:13:14,0.4777777777777778
Mereana Tangiia,5,very useful and informative app.,2025-05-04 05:10:51,0.39
James Millerick,5,"Booked a place in Queenstown for the Marthon using this app. Easy to use, didn't come across any bugs.",2025-05-04 04:49:21,0.43333333333333335
Tyler G.,5,The best App for booking vacation homes,2025-05-04 04:27:33,1.0
Michelle Alvarez,5,I LOVE THIS APP,2025-05-04 04:14:59,0.5
M Zambrana,5,love Airbnb,2025-05-04 03:22:47,0.5
Bendegúz Lajos,3,Good app with an annoyingly oversimplified UI,2025-05-04 02:32:14,-0.050000000000000044
Christian Darrow,5,"Always have had great luck finding stays for vacations, easy to use and good hosts.",2025-05-04 02:18:51,0.6444444444444445
M Sameed,1,"Greedy fraudsters. The ""cleaning"" and other fees often come to higher than the actual rent.",2025-05-04 02:12:50,0.041666666666666664
Morgan Young,2,very frustrating,2025-05-04 01:54:32,-0.52
Shimon Tsalmon,1,app is asking for a copy of my id card or passport. no way.,2025-05-04 00:50:18,0.0
Angel gallardo,5,very good,2025-05-04 00:27:35,0.9099999999999999
Febe,1,been going in circles with support... nobody seems to actually listen to what I'm saying. They seem very unwilling to actually help,2025-05-04 00:07:43,0.06666666666666667
Sharee Keedo,5,have not been disappointed using this app,2025-05-03 23:10:51,-0.75
Ruth M Graham,5,Great info,2025-05-03 23:08:25,0.8
Wendell Broadway,5,quick and easy,2025-05-03 23:08:22,0.3833333333333333
William O'Leary-Cole,5,works good international,2025-05-03 22:39:01,0.35
AHMAD Z,1,worse app ever they took my money and canceled the reservation without any reason I think this app is a scam. and steals your money iam still waiting on refund been weeks but nothing coming back I called them 5 times asking about my money and they give me stupid excuses... never book with them again,2025-05-03 22:36:57,-0.39999999999999997
Jazzlee Griffin,5,I love this app it's worth it,2025-05-03 22:03:19,0.4
Marina Sukhitashvili,5,I easily find a suitable apartment,2025-05-03 21:55:42,0.4916666666666667
Michael Handlogten,1,"it auto signed me out, then asks me to log back in via verification code by text. It never sent any texts!",2025-05-03 21:27:51,0.0
Δανιήλ Οικονόμου,1,"if you are using it as a guest it's amazing but if you want to try your luck as a host better use another platform, if you face any issue with a guest be sure that Airbnb will always be on the guest side.",2025-05-03 21:03:22,0.5333333333333333
Sherri Tanner,3,"The app has always been ok, until more recently. It wants to update so often now. The real issue I have with it, is the search places it on a type of location, rather then just leaving that open for multiple options. The filter bar on the app comes and goes with updates as well. Unless I am searching from a web browser, I can't specialize my search in the additional options beyond dates and guest number. The older version, before all the updates, gave us these options and now they are limited.",2025-05-03 20:47:24,0.1869047619047619
Axel Isouard,1,This app is great when we have great hosts. But the support takes a lot of time to tell you to kick some rocks when you stumble upon the greatest scammers while letting them get away with it.,2025-05-03 20:01:10,0.6375
Jasn Sue de los Santos,5,It's really great highly recommended 👌,2025-05-03 19:21:35,0.48000000000000004
Joshua Ace Acevedo,5,Great experience and good Staying.,2025-05-03 18:44:33,0.75
Prashant Kalantri,5,"Booking is easy. One can chat with the host for any query. Details about the place, city etc can be sought via messages chat with the host.",2025-05-03 18:15:13,0.43333333333333335
Terry Williams,1,No map when searching. very hard to search or navigate. What happened?,2025-05-03 17:10:01,-0.3791666666666667
Matthew Tan WC,5,There's a bug in your recent update.. App icon still showing 1 notification after reading the message..,2025-05-03 17:09:54,0.0
