userName,score,content,at,sentiment,cluster
Rebecca Avila,5,pretty cool,2025-05-16 09:41:58,0.3,0
Muhammad Tallal,5,quick,2025-05-16 07:24:29,0.3333333333333333,0
Dimitar Georgievski,5,Wherever I go AirBnB gives me options and best deals...fast. I love the app.,2025-05-16 07:16:36,0.75,0
B Bolen,5,"We love Air BNB! Preferred over any other travel bookings we have used. It's quick, easy and have had good experiences.",2025-05-16 06:52:59,0.3933333333333333,0
Khaled Hawsawi,5,love it,2025-05-16 05:53:08,0.5,0
June Gemmell,5,"always great, and easy to find the type of place and hosts you're looking for!",2025-05-16 05:34:31,0.6708333333333334,0
Phranklyne KE,5,I love it,2025-05-16 04:55:33,0.5,0
Adriana Ramirez,5,easy to use,2025-05-16 04:19:07,0.4333333333333333,0
John Conrad,5,Just starting to use the app. Very user friendly and easy to use!!,2025-05-16 04:14:10,0.3130208333333333,0
aivo aivo,5,nice app and good security,2025-05-16 03:38:28,0.6499999999999999,0
Mary Margetis,5,very smooth process,2025-05-16 02:14:47,0.52,0
Kevin Di Fede,5,Easy reservation and excellent support through both message and call,2025-05-16 02:13:42,0.7166666666666667,0
Hope Ortegon,5,This is our first trip we booked through Airbnb. it was really easy and fast. very excited to begin our travel journey as a family,2025-05-16 02:12:19,0.3427083333333333,0
Vanessa Cosgrave,5,Always clear and good direction. trust this to travel even alone!,2025-05-16 00:27:20,0.4875,0
Paul Brown,3,very easy to use and find places,2025-05-15 23:48:00,0.5633333333333334,0
Mathews V James,5,Amazing options,2025-05-15 23:46:59,0.6000000000000001,0
Jeanette Marcelle,5,"I travel a lot, which can be expensive so being able to save on accommodation is great.",2025-05-15 21:53:37,0.2666666666666666,0
Carrie P,5,Awesome alternative to hotels!,2025-05-15 20:41:52,1.0,0
Lucy Bolivar,5,love finding place that has everything we want,2025-05-15 19:13:30,0.5,0
David Morales,5,Easy and Fast. many choices to choose from. many Information.,2025-05-15 18:36:41,0.4083333333333333,0
sharon fiore,5,I had great experiences so far.,2025-05-15 18:33:58,0.45,0
Abiodun Ojo,5,user friendly,2025-05-15 17:22:22,0.375,0
Melissa Chang,4,Super good interface to use but today the app is always hanging i reinstall n uninstall still i can't open App,2025-05-15 14:36:39,0.3444444444444444,0
ED PL,5,Amazing!!!,2025-05-15 14:34:29,1.0,0
Claudia Esquer,5,Love it,2025-05-15 12:27:02,0.5,0
Mathew Jacob,5,Excellent,2025-05-15 11:46:45,1.0,0
Malika Doucet,5,"Love airbnb, I wish we could type the features we are looking for instead of selecting the ones available. For exemple I wish I could write balcony or hot tub and see what comes up. Apart from that I have been using it all around the world and its been great!",2025-05-15 10:09:56,0.5375,0
June Devine,5,love the ease of search and booking,2025-05-15 09:36:23,0.5,0
Kenneth Jones,5,Great job,2025-05-15 08:35:21,0.8,0
Lora Holcomb,4,I have used this app for several places we have gone and have had great experiences.,2025-05-15 08:33:22,0.4,0
Nonhlanhla Msimango,3,Very easy to use and very helpful,2025-05-15 07:09:02,0.3816666666666667,0
Andrei,5,good,2025-05-15 06:19:38,0.7,0
mike winter,1,"The new update is a real downgrade. The ""property type"" suggestions along the top (beachfront, lakeside, etc) have now been removed! These have been replaced with suggestions of photographers and chefs! I thought this was a holiday accommodation site? When I search for holiday homes, I want inspiration, which you used to give. A really important tool, now removed. Please reinstate the tabs for suggestions, as it completely undermines your necessity in the holiday let market.",2025-05-15 06:11:50,0.3235227272727273,0
Sandra MacFadyen,1,"Don't like the latest update. Where are the shortcuts for amazing views, beachfront, lakeside, etc?",2025-05-15 04:41:28,0.55,0
Barry Obrien,5,Great App and great service.,2025-05-15 03:57:23,0.8,0
Kim,1,"Hides true price in listings, scammy",2025-05-15 02:57:54,0.35,0
Leon ostronoff,5,"good exper6, easy and comfortable",2025-05-15 02:23:08,0.5111111111111111,0
Samantha Slofkin,5,it's perfect!!!,2025-05-15 02:15:36,1.0,0
Mohammed Faisal Mangattil,4,applying gift vouchers is not easy otherwise apps great,2025-05-15 01:37:37,0.2916666666666667,0
Margaret Kintu,5,easy to book,2025-05-15 00:20:20,0.4333333333333333,0
James Landry,5,This has been an excellent tool for planning trips.,2025-05-15 00:04:56,1.0,0
Sheri Westover,5,"I love the photos and information about local areas of interest and entertainment. Oklahoma City has many diverse areas and entertainment districts for sports, adventure, history, and culture.",2025-05-15 00:02:03,0.3333333333333333,0
Philip Minter,5,Still a great app that connects homeowners and vacationers.,2025-05-14 23:22:47,0.8,0
John McKenna,5,We have used Airbnb on our travels over many years and have found the service to be excellent.,2025-05-14 22:51:56,0.75,0
Eric Kutcher,5,Always an easy experience.,2025-05-14 22:49:42,0.4333333333333333,0
Carmen Mathews,5,"Easy to navigate online, easy to find a nice place to stay for your next vacation. thanks Airbnb",2025-05-14 22:32:08,0.3333333333333333,0
Maurice D,5,I've used Airbnb state side as well as out of the country. no problems guest that have opened their homes have been awesome! Some I've established relationships with. 💯,2025-05-14 22:01:17,1.0,0
Dan Smith,5,easy to use!!!!,2025-05-14 21:45:50,1.0,0
Melanie Craft,5,I really like Air bnb always find somewhere to stay within my budget. Easy to find accomodation and make payment.,2025-05-14 21:33:04,0.3166666666666666,0
Endre Hope,5,easy to use,2025-05-14 19:16:35,0.4333333333333333,0
Chris Martinez,5,"All praise to Christ alone. In a season of uncertainty, He faithfully provided for our family, and Airbnb was simply a tool He used. Through His discernment, we found safe and peaceful stays with kind hosts. The app works well, but it’s the Lord who makes the way when there seems to be none. We give Him all the glory for every door opened, every roof provided, and every step forward with this tool he used for his goodness.",2025-05-14 15:24:48,0.3375,0
Néstor Cortés,5,great,2025-05-14 12:45:55,0.8,0
Cindy Meyers,5,Easy to use,2025-05-14 10:50:24,0.4333333333333333,0
Fetu Figota,5,fast and easy with so many options,2025-05-14 10:29:20,0.3777777777777777,0
Oscar Arcilla,3,Not so good,2025-05-14 10:12:17,0.7,0
Sabrina Terranova,1,"After updating, the app is unusable. Before the latest update app worked great. Would have been five stars",2025-05-14 09:59:30,0.65,0
linda garcia,1,I use to love the app but then it updated and now it wont work at all Do not Update!,2025-05-14 09:30:09,0.625,0
Cat Drivo Official,5,Recommend App for getting bookings and make you profitable by hosting like me. The UI UX app is very user friendly. Also their 24/7 customer support is boom,2025-05-14 07:52:11,0.2875,0
Jazmin Torres,2,so many updates why?!,2025-05-14 07:47:18,0.625,0
Cindy Juarez,5,Easy peazy!,2025-05-14 07:37:55,0.5416666666666667,0
Anna Karelina,5,awesome!,2025-05-14 06:42:22,1.0,0
Paul Calix,5,great,2025-05-14 06:20:05,0.8,0
yuni ayala,5,"it's good, but I think that the new customer could be an incentives and coupons",2025-05-14 05:26:30,0.4181818181818181,0
Lora Topalova,5,excellent 👌,2025-05-14 04:28:49,1.0,0
Joe T.,5,never a bad experience!,2025-05-14 03:01:01,0.4374999999999999,0
Creti Keu,5,"Vraiment pratique, moins dispendieux... Realy Nice and practical",2025-05-14 02:15:43,0.6,0
Diệu Anh Nguyễn,4,Too many updates. I don't like it when I have to restart my phone 3 times a week,2025-05-14 00:37:42,0.5,0
Valeri Farley,5,"I love the Airbnb app, so if we are traveling it's at my fingertips, and then when I'm at home I actually manage and clean an Airbnb which I love, it's a great job and Airbnb makes it so easy",2025-05-14 00:11:38,0.4333333333333334,0
Cesar Lazaro,4,Best,2025-05-13 23:33:56,1.0,0
Nicole Melling,5,Easy to use. Found great places to stay.,2025-05-13 23:30:06,0.6166666666666667,0
Collette Fusco,5,excellent app. found exactly what I was looking for.,2025-05-13 23:06:10,0.625,0
Vidya Srikanth,5,very good,2025-05-13 21:29:16,0.91,0
Alessandro Carpentiero,1,With the latest update I can't search for any house!,2025-05-13 20:55:34,0.625,0
Shirley Brinson,3,"It's Great, accept for all the downloads, seems everyone is open it I have a download waiting.",2025-05-13 20:51:08,0.4,0
Brittany Fahnestock,4,"easy to use, seemless I function and a secure platform for communication",2025-05-13 20:38:48,0.4166666666666667,0
Huzaifa Vora,5,best app for remote bookings & untouched places,2025-05-13 20:31:57,0.45,0
Adarsh Srivastava,5,exceptional and easy bookings,2025-05-13 20:06:02,0.55,0
Faith 99,5,Great!,2025-05-13 20:01:37,1.0,0
Barrie,5,First time using app. very easy and informative. We will be using it a lot more in future,2025-05-13 19:27:52,0.3283333333333333,0
Arohi Barai,5,Top app. Been using for 10 years now.,2025-05-13 18:33:18,0.5,0
Nivash Munilal,5,always helpful with great accommodation options,2025-05-13 17:49:56,0.8,0
Vendetta Knight-Pearson,4,Easy to use,2025-05-13 13:20:22,0.4333333333333333,0
Valerie Harris,5,Easy to see places close to your needs/wants and most publishers give great pics with details.,2025-05-13 12:58:49,0.5777777777777778,0
"April , Nelson",5,We've used ARB several times and have always had a good experience! Thanks!,2025-05-13 12:05:26,0.375,0
Ioannis Papathanassopoulos,5,easy bookings!!!!,2025-05-13 07:01:51,1.0,0
amita khandekar,5,easy to find the places continent booking process always very good experience with Airbnb,2025-05-13 06:38:41,0.6716666666666666,0
Ana Shephard,5,"Great Apps. Allow me to book Airbnb , easy and straightforward to use . Excellent Area and so close to Harrods and strain station .",2025-05-13 05:53:24,0.6520833333333333,0
rickmiranda117,5,super easy. best prices. reputable.,2025-05-13 04:06:10,0.5666666666666667,0
Allison,5,"always a good, affordable experience!",2025-05-13 04:02:14,0.875,0
Piggi Pig,1,"can't receive verify code, have to wait 24hrs more to do again",2025-05-13 03:55:22,0.5,0
Maria Kaldenhoven,5,good app!,2025-05-13 03:15:38,0.875,0
Jose Hernandez,5,love it,2025-05-13 03:07:43,0.5,0
Ray Elliott,5,very easy and fast,2025-05-13 01:36:08,0.3816666666666667,0
Matthew Lopez,5,Airbnb has always been reliable for traveling and I've met so many amazing hosts along the way.,2025-05-13 00:25:42,0.55,0
Durga Seti,5,all good,2025-05-13 00:07:03,0.7,0
Jesus,5,fast easy and very affordable and the customer service team is outstanding!,2025-05-12 21:50:38,0.3645833333333333,0
Zoe Carlyle,5,easy to use and interface is really appealing,2025-05-12 20:25:36,0.4666666666666667,0
Debra Landa,5,We've always had great experiences using Airbnb.,2025-05-12 20:20:41,0.8,0
Pauline batt,5,excellent with no fuss .,2025-05-12 19:46:39,1.0,0
User,5,"Amazing app. Customer support is also amazing and they will help you regarding any issue. Thank you Nirin from customer support, very professional.",2025-05-12 18:57:49,0.4433333333333333,0
amant puka,5,profitable and easy to use,2025-05-12 17:26:52,0.4333333333333333,0
Victoria Arme,5,fantastic,2025-05-12 17:02:51,0.4,0
Leilani Baca,5,one of my all time favorite apps,2025-05-12 16:11:01,0.5,0
Demarcus Townes,5,perfect,2025-05-12 15:04:15,1.0,0
E Lizarondo,4,Been using the app since 2018. Albeit sometimes hotel choices are better in another app.,2025-05-12 14:17:44,0.5,0
Bry Hedrick,4,"Great way to find places to stay, and sometimes make new friends !",2025-05-12 14:16:11,0.4852272727272727,0
Poon Piau Lai,5,Great way to travel. Hope I can be a host one day.,2025-05-12 12:54:08,0.8,0
Lesley Myers,5,easy to use!!!!!,2025-05-12 11:50:37,1.0,0
Andrew Abbondanza,1,used to be better,2025-05-12 09:55:55,0.5,0
Esttebban Reyna,5,excellent app,2025-05-12 09:04:21,1.0,0
Jhep heaven Soon,5,nice,2025-05-12 08:46:02,0.6,0
Jeanne Morbo,5,easy,2025-05-12 03:54:10,0.4333333333333333,0
Lucksia Aloisio,5,Great experience and value for money,2025-05-12 02:44:04,0.8,0
Harvir Sekhon,5,good,2025-05-12 00:39:41,0.7,0
Rina Yunita,5,excellent,2025-05-12 00:28:26,1.0,0
Bernice Funches,5,I love the app and appreciate the choices of lodging!!!!,2025-05-12 00:24:59,1.0,0
Cafrubcan Tax,5,great,2025-05-11 22:07:12,0.8,0
Patti Shenberger,5,User friendly and good details,2025-05-11 20:45:31,0.5375,0
Mugisa Edgar,4,"I have been using this app for a couple of years, it's a wonderful place to find affordable places to stay for your holidays trips all over the world 🌎. 👌🏾",2025-05-11 19:24:46,1.0,0
Natasha M,3,Easy enough to book for when I go to drop off and pickup my daughter to and from college every semester. I wish that I could sort from low to high prices or places with best reviews.,2025-05-11 19:17:47,0.3186666666666666,0
lou wos,5,"Airbnb has an air of supportive community about it. It's user-friendly and easy to navigate, whether you are a host or a traveller. Well done Airbnb 👏",2025-05-11 18:14:37,0.4666666666666667,0
nadeesha jayasinghe,5,very useful app.,2025-05-11 17:00:31,0.39,0
Jamie Butler,5,works great,2025-05-11 15:06:40,0.8,0
Steven Tomes,5,Great variety of uniqueness and fabulous communication and a wealth of experience and information,2025-05-11 10:02:21,0.6000000000000001,0
Carmen Addy,5,"I feel comfortable with Airbnb placing my stay for vacation, because I feel that it will be a secure and safe place for a vacation.",2025-05-11 10:01:31,0.4333333333333333,0
Niran Ranglin,5,best,2025-05-11 08:29:51,1.0,0
Kaylynn Zaro,5,"Love the many options available, beautiful properties",2025-05-11 07:50:41,0.5625,0
Garry Smith,4,very good site,2025-05-11 07:26:21,0.91,0
Elias Higuera jr,5,Great,2025-05-11 06:02:21,0.8,0
Bryan Chaifetz,5,I've been having a great experience so far and will keep using it in the future,2025-05-11 04:40:31,0.3,0
Denis Alejandro Jimenez Freire,5,the best,2025-05-11 04:26:30,1.0,0
Ian Lane,4,Consistently Good experience,2025-05-11 04:03:20,0.7,0
Reinaldo,5,Excellent,2025-05-11 01:37:33,1.0,0
